float_id,cycle_number,profile_date,latitude,longitude,data_mode,direction,temp_measurements,psal_measurements,pres_measurements,max_pressure,min_temp,max_temp,min_salinity,max_salinity,profile_file
6903569,1,,66.98785,-0.49753,D,A,1006,1006,1006,2012.300048828125,-0.7470999956130981,5.6595001220703125,34.907798767089844,35.05799865722656,argo_organized_data\float_6903569\profiles\cycle_001.json
6903569,2,,66.89641,-0.60942,D,A,1006,1006,1006,2013.4599609375,-0.7585999965667725,6.395299911499023,34.90810012817383,35.08399963378906,argo_organized_data\float_6903569\profiles\cycle_002.json
6903569,3,,66.79723,-0.69851,D,A,1006,1006,1006,2013.800048828125,-0.7562000155448914,6.040599822998047,34.90840148925781,35.05459976196289,argo_organized_data\float_6903569\profiles\cycle_003.json
6903569,4,,66.87862,-0.97252,D,A,1005,1005,1005,2012.1099853515625,-0.7601000070571899,7.35890007019043,34.90840148925781,35.109500885009766,argo_organized_data\float_6903569\profiles\cycle_004.json
6903569,5,,67.09683,-1.2693,D,A,1004,1004,1004,2009.9100341796875,-0.7444000244140625,6.639500141143799,34.90919876098633,35.07979965209961,argo_organized_data\float_6903569\profiles\cycle_005.json
6903569,6,,67.23725,-1.17558,D,A,1006,1006,1006,2013.2900390625,-0.7501999735832214,8.261500358581543,34.908199310302734,35.119598388671875,argo_organized_data\float_6903569\profiles\cycle_006.json
6903569,7,,67.12635,-0.7855,D,A,1004,1004,1004,2011.1400146484375,-0.7361000180244446,7.113699913024902,34.90810012817383,35.03010177612305,argo_organized_data\float_6903569\profiles\cycle_007.json
6903569,8,,67.14356,-1.34163,D,A,1003,1003,1003,2009.6300048828125,-0.7421000003814697,8.322099685668945,34.907901763916016,35.03110122680664,argo_organized_data\float_6903569\profiles\cycle_008.json
6903569,9,,67.18652,-1.27701,D,A,1004,1004,1004,2009.75,-0.7421000003814697,8.18019962310791,34.90850067138672,35.0702018737793,argo_organized_data\float_6903569\profiles\cycle_009.json
6903569,10,,67.145,-1.49936,D,A,1005,1005,1005,2011.1400146484375,-0.7538999915122986,8.029999732971191,34.908599853515625,35.019901275634766,argo_organized_data\float_6903569\profiles\cycle_010.json
6903569,11,,67.10981,-2.12297,D,A,1004,1004,1004,2007.8800048828125,-0.7343999743461609,8.72089958190918,34.90800094604492,35.079898834228516,argo_organized_data\float_6903569\profiles\cycle_011.json
6903569,12,,67.10375,-2.43083,D,A,1002,1002,1002,2007.199951171875,-0.7315000295639038,8.958900451660156,34.908599853515625,35.09880065917969,argo_organized_data\float_6903569\profiles\cycle_012.json
6903569,13,,67.06078,-2.56921,D,A,1002,1002,1002,2005.9000244140625,-0.736299991607666,9.669400215148926,34.90879821777344,35.07780075073242,argo_organized_data\float_6903569\profiles\cycle_013.json
6903569,14,,67.13525,-2.53941,D,A,1003,1003,1003,2006.280029296875,-0.7325000166893005,9.878700256347656,34.908199310302734,35.06840133666992,argo_organized_data\float_6903569\profiles\cycle_014.json
6903569,15,,67.13998,-2.89239,D,A,1001,1001,1001,2005.25,-0.7559999823570251,10.562700271606445,34.90589904785156,35.05799865722656,argo_organized_data\float_6903569\profiles\cycle_015.json
6903569,16,,66.99577,-2.98637,D,A,1002,1002,1002,2005.3399658203125,-0.7508000135421753,10.241100311279297,34.90629959106445,35.065399169921875,argo_organized_data\float_6903569\profiles\cycle_016.json
6903569,17,,66.9584,-2.83368,D,A,1003,1003,1003,2005.5699462890625,-0.7495999932289124,10.759200096130371,34.89870071411133,35.09749984741211,argo_organized_data\float_6903569\profiles\cycle_017.json
6903569,18,,67.10445,-2.49496,D,A,1001,1001,1001,2003.5999755859375,-0.7439000010490417,11.095800399780273,34.908199310302734,35.060001373291016,argo_organized_data\float_6903569\profiles\cycle_018.json
6903569,19,,67.19703,-2.76869,D,A,1000,1000,1000,2002.1300048828125,-0.7605999708175659,10.935500144958496,34.904998779296875,35.07720184326172,argo_organized_data\float_6903569\profiles\cycle_019.json
6903569,20,,67.21807,-2.90153,D,A,999,999,999,2001.9200439453125,-0.7597000002861023,10.275799751281738,34.90879821777344,35.04819869995117,argo_organized_data\float_6903569\profiles\cycle_020.json
6903569,22,,67.41052,-3.6511,D,A,1000,1000,1000,2001.1199951171875,-0.7319999933242798,10.206000328063965,34.905399322509766,35.102298736572266,argo_organized_data\float_6903569\profiles\cycle_022.json
6903569,23,,67.54587,-3.81387,D,A,999,999,999,1999.0400390625,-0.7384999990463257,9.486100196838379,34.90840148925781,35.07210159301758,argo_organized_data\float_6903569\profiles\cycle_023.json
6903569,24,,67.71487,-3.81656,D,A,1000,1000,1000,2001.1199951171875,-0.7247999906539917,9.35770034790039,34.90840148925781,35.09189987182617,argo_organized_data\float_6903569\profiles\cycle_024.json
6903569,25,,67.95279,-3.99043,D,A,1000,1000,1000,2000.239990234375,-0.7267000079154968,8.754799842834473,34.90850067138672,35.09920120239258,argo_organized_data\float_6903569\profiles\cycle_025.json
6903569,26,,68.13749,-4.23522,D,A,998,998,998,2000.02001953125,-0.7408000230789185,8.34749984741211,34.908599853515625,35.027400970458984,argo_organized_data\float_6903569\profiles\cycle_026.json
6903569,27,,68.12678,-4.4247,D,A,999,999,999,1998.1400146484375,-0.7425000071525574,7.810800075531006,34.908599853515625,35.07569885253906,argo_organized_data\float_6903569\profiles\cycle_027.json
6903569,28,,68.02195,-4.36511,D,A,999,999,999,1999.3399658203125,-0.7390000224113464,7.7052998542785645,34.90850067138672,35.0640983581543,argo_organized_data\float_6903569\profiles\cycle_028.json
6903569,29,,67.9924,-4.19501,D,A,999,999,999,1999.6500244140625,-0.7343000173568726,7.9918999671936035,34.908199310302734,35.063201904296875,argo_organized_data\float_6903569\profiles\cycle_029.json
6903569,30,,68.00429,-4.10582,D,A,1000,1000,1000,2000.510009765625,-0.7376999855041504,7.64709997177124,34.908199310302734,35.05739974975586,argo_organized_data\float_6903569\profiles\cycle_030.json
6903569,31,,68.00735,-4.11705,D,A,998,998,998,1999.1800537109375,-0.7369999885559082,7.5335001945495605,34.90829849243164,35.037899017333984,argo_organized_data\float_6903569\profiles\cycle_031.json
6903569,32,,67.99953,-4.08542,D,A,998,998,998,1999.31005859375,-0.7371000051498413,7.365699768066406,34.90840148925781,35.04909896850586,argo_organized_data\float_6903569\profiles\cycle_032.json
6903569,33,,67.91903,-3.68209,D,A,999,999,999,1999.010009765625,-0.7311000227928162,6.989999771118164,34.90810012817383,35.03110122680664,argo_organized_data\float_6903569\profiles\cycle_033.json
6903569,34,,67.91803,-3.36295,D,A,999,999,999,1998.1199951171875,-0.7434999942779541,7.014999866485596,34.90810012817383,35.02180099487305,argo_organized_data\float_6903569\profiles\cycle_034.json
6903569,35,,67.98054,-3.35318,D,A,999,999,999,1998.3699951171875,-0.7335000038146973,6.555300235748291,34.90800094604492,35.02750015258789,argo_organized_data\float_6903569\profiles\cycle_035.json
6903569,36,,68.0982,-3.51807,D,A,998,998,998,1998.5400390625,-0.7437999844551086,6.45419979095459,34.90739822387695,35.03150177001953,argo_organized_data\float_6903569\profiles\cycle_036.json
6903569,37,,68.24365,-3.79354,D,A,1000,1000,1000,1999.9200439453125,-0.7462999820709229,6.180699825286865,34.907798767089844,35.01369857788086,argo_organized_data\float_6903569\profiles\cycle_037.json
6903569,38,,68.30225,-3.98659,D,A,999,999,999,1999.7900390625,-0.7458000183105469,6.635499954223633,34.907798767089844,35.04999923706055,argo_organized_data\float_6903569\profiles\cycle_038.json
6903569,39,,68.296,-4.10524,D,A,997,997,997,1999.1400146484375,-0.75,6.0096001625061035,34.90760040283203,35.03020095825195,argo_organized_data\float_6903569\profiles\cycle_039.json
6903569,40,,68.22987,-4.23139,D,A,998,998,998,2000.050048828125,-0.7383999824523926,6.036799907684326,34.90760040283203,35.03229904174805,argo_organized_data\float_6903569\profiles\cycle_040.json
6903569,41,,68.21972,-4.42624,D,A,999,999,999,1999.280029296875,-0.739799976348877,6.275300025939941,34.90739822387695,35.03919982910156,argo_organized_data\float_6903569\profiles\cycle_041.json
6903569,42,,68.24522,-4.83987,D,A,1000,1000,1000,2000.510009765625,-0.7439000010490417,5.683800220489502,34.907501220703125,35.0093994140625,argo_organized_data\float_6903569\profiles\cycle_042.json
6903569,43,,68.25045,-5.01452,D,A,1000,1000,1000,1999.530029296875,-0.7472000122070312,5.3256001472473145,34.90739822387695,35.00579833984375,argo_organized_data\float_6903569\profiles\cycle_043.json
6903569,44,,68.26696,-4.98166,D,A,998,998,998,1998.1600341796875,-0.7487999796867371,5.172800064086914,34.907501220703125,35.00389862060547,argo_organized_data\float_6903569\profiles\cycle_044.json
